NumChoix,Critere,Espece,Notes,Image
2222211,Pléon à bords à peine dentés vu de dessus,,,Images/2222211.jpg
2222212,Pléon à bords très nettement dentés vu de dessus,,,Images/2222212.jpg
22222111,"Corps étroit, coloration brune rougeâtre, extrémités des péréionites marquées d’une bande brune et surmontées d’une tache translucide. Présence d’une fine pilosité, plus visible sur le pléon",Chaetophiloscia sicula,"Habitats ouverts, espèce en forte expansion récemment découverte dans la région",Images/22222111.jpg
22222112,"Extrémités (antennes, pattes et uropodes) fines et allongées donnant un aspect “ Monté sur échasse ”, pilosité très visible lui donnant un aspect velu, en particulier sur le pléon, extrémité des péréionites généralement marquées de brun clair",Chaetophiloscia cellaria,"Habitats majoritairement souterrains (caves, carrières, entrées de grottes…) parfois dans des habitats de substitution comme l’intérieur de tas de pierres humides. Semble avoir une préférence pour des substrats minéraux",Images/22222112.jpg
22222121,Bordure du péréion nettement plus claire que le reste. Tête généralement nettement plus sombre que le corps et souvent marquée d’un point jaune à l’arrière,Philoscia muscorum,"Habitats variés, espèce commune",Images/22222121.jpg
22222122,"Bordure du péréion colorée contrastant peu avec le reste, présente souvent une constellation de points jaunes",Philoscia affinis,"Habitats boisés, espèce récemment découverte dans la région où elle n’est connue que du massif de Rambouillet",Images/22222122.jpg
2222221,"Trois paires de pseudotrachées, bordure du dernier péréionite ondulée, en forme de cloche",Orthometopon planum,"Habitats variés, espèce récemment découverte dans la région, actuellement connue de deux stations en bord de Seine et de Marne",Images/2222221.jpg
2222222,"Deux paires de pseudotrachées, bordure du dernier péréionite formant un arc de cercle",,,Images/2222222.jpg
22222221,"Faible quantité de pruine sur le corps, coloration en patchwork, possède une ligne transversale sur le tiers supérieur des péréionites",Porcellionides cingendus,"Habitats variés, espèce probablement issue d’introduction dans la région où elle n’a que très peu été observée",
22222222,"Extrémité du 4ème segment antennaire blanche. Généralement une grande quantité de pruine sur le corps, coloration unie allant du gris au violacé avec parfois des tonalités plus fantaisistes",Porcellionides pruinosus,"Habitats variés, souvent liés à l’activité humaine",Images/22222222.jpg
22222223,"Présence de pruine sur le corps, péréionites tachés de blanc avant leurs extrémités, possède une ligne transversale sur le tiers inférieur des péréionites",Porcellionides sexfasciatus,"Habitats variés, espèce probablement issue d’introduction dans la région où elle n’a que très peu été observée",
